case_id,reference_path,distorted_path,distortion_type,width,height,channels,mse_standard,psnr_db,ssim,elapsed_ms,status,error
image_0002_jpeg_quality_80,../reference/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719214500_20260719215959_1000M_V0001.png,../distorted/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719214500_20260719215959_1000M_V0001/jpeg_quality_80.jpg,jpeg_quality_80,2048,2048,3,3.060736,43.272545,0.988599,162.140917,ok,
image_0002_jpeg_quality_50,../reference/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719214500_20260719215959_1000M_V0001.png,../distorted/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719214500_20260719215959_1000M_V0001/jpeg_quality_50.jpg,jpeg_quality_50,2048,2048,3,9.341482,38.426646,0.973843,302.139500,ok,
image_0002_jpeg_quality_20,../reference/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719214500_20260719215959_1000M_V0001.png,../distorted/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719214500_20260719215959_1000M_V0001/jpeg_quality_20.jpg,jpeg_quality_20,2048,2048,3,18.123525,35.548377,0.934576,166.854667,ok,
image_0003_noise_sigma_5,../reference/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719220000_20260719221459_1000M_V0001.png,../distorted/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719220000_20260719221459_1000M_V0001/noise_sigma_5.png,gaussian_noise_sigma_5,2048,2048,3,21.956821,34.715109,0.894233,201.820166,ok,
image_0003_noise_sigma_15,../reference/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719220000_20260719221459_1000M_V0001.png,../distorted/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719220000_20260719221459_1000M_V0001/noise_sigma_15.png,gaussian_noise_sigma_15,2048,2048,3,171.253309,25.794414,0.529569,194.388583,ok,
image_0003_noise_sigma_30,../reference/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719220000_20260719221459_1000M_V0001.png,../distorted/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719220000_20260719221459_1000M_V0001/noise_sigma_30.png,gaussian_noise_sigma_30,2048,2048,3,619.742730,20.208689,0.239012,187.946333,ok,
image_0003_blur_k03_s0p8,../reference/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719220000_20260719221459_1000M_V0001.png,../distorted/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719220000_20260719221459_1000M_V0001/blur_k03_s0p8.png,gaussian_blur_k3_sigma_0.800000,2048,2048,3,8.007675,39.095739,0.984499,190.207250,ok,
image_0003_blur_k07_s1p5,../reference/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719220000_20260719221459_1000M_V0001.png,../distorted/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719220000_20260719221459_1000M_V0001/blur_k07_s1p5.png,gaussian_blur_k7_sigma_1.500000,2048,2048,3,16.391424,35.984637,0.966601,191.840291,ok,
image_0003_blur_k11_s3p0,../reference/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719220000_20260719221459_1000M_V0001.png,../distorted/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719220000_20260719221459_1000M_V0001/blur_k11_s3p0.png,gaussian_blur_k11_sigma_3.000000,2048,2048,3,27.567426,33.726841,0.944531,184.831292,ok,
image_0003_jpeg_quality_80,../reference/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719220000_20260719221459_1000M_V0001.png,../distorted/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719220000_20260719221459_1000M_V0001/jpeg_quality_80.jpg,jpeg_quality_80,2048,2048,3,3.064503,43.267203,0.988619,159.713209,ok,
